time,lasttime,lat,lng,speed,course,altitude,comment
6/19/26 16:02,6/19/26 16:02,43.98815,-112.73333,7,293,1999,
6/19/26 16:06,6/19/26 16:06,43.99005,-112.73055,31,99,3322,
6/19/26 16:08,6/19/26 16:08,43.98675,-112.71753,33,132,4006,BYU-I HART Balloon - 3
6/19/26 16:10,6/19/26 16:10,43.98409,-112.70168,54,84,4737,BYU-I HART Balloon - 3
6/19/26 16:14,6/19/26 16:14,43.98447,-112.65967,46,79,6124,BYU-I HART Balloon - 3
6/19/26 16:16,6/19/26 16:16,43.98472,-112.63429,54,105,6819,BYU-I HART Balloon - 3
6/19/26 16:18,6/19/26 16:18,43.98368,-112.60799,59,85,7535,BYU-I HART Balloon - 3
6/19/26 16:20,6/19/26 16:20,43.98329,-112.58133,63,100,8286,BYU-I HART Balloon - 3
6/19/26 16:22,6/19/26 16:22,43.98286,-112.55232,54,102,9069,BYU-I HART Balloon - 3
6/19/26 16:24,6/19/26 16:24,43.9805,-112.52444,67,85,9828,BYU-I HART Balloon - 3
6/19/26 16:26,6/19/26 16:26,43.97876,-112.49033,98,96,10580,BYU-I HART Balloon - 3
6/19/26 16:30,6/19/26 16:30,43.9764,-112.40085,107,93,12111,BYU-I HART Balloon - 3
6/19/26 16:32,6/19/26 16:32,43.97555,-112.35316,137,83,12822,BYU-I HART Balloon - 3
6/19/26 16:34,6/19/26 16:34,43.97577,-112.30082,107,81,13473,BYU-I HART Balloon - 3
6/19/26 16:36,6/19/26 16:36,43.97302,-112.25122,87,112,14281,BYU-I HART Balloon - 3
6/19/26 16:38,6/19/26 16:38,43.97061,-112.21484,87,89,14950,BYU-I HART Balloon - 3
6/19/26 16:40,6/19/26 16:40,43.96769,-112.18335,56,68,15666,BYU-I HART Balloon - 3
6/19/26 16:42,6/19/26 16:42,43.96822,-112.16629,56,75,16339,BYU-I HART Balloon - 3
6/19/26 16:44,6/19/26 16:44,43.96982,-112.14663,22,126,17136,BYU-I HART Balloon - 3
6/19/26 16:46,6/19/26 16:46,43.96996,-112.13192,61,105,17876,BYU-I HART Balloon - 3
6/19/26 16:48,6/19/26 16:48,43.96543,-112.12293,20,120,18516,BYU-I HART Balloon - 3
6/19/26 16:50,6/19/26 16:50,43.9632,-112.12116,4,226,19158,BYU-I HART Balloon - 3
6/19/26 16:52,6/19/26 16:52,43.96264,-112.12481,4,64,19805,BYU-I HART Balloon - 3
6/19/26 16:54,6/19/26 16:54,43.96544,-112.12835,15,356,20463,BYU-I HART Balloon - 3
6/19/26 16:56,6/19/26 16:56,43.96864,-112.12905,7,36,21150,BYU-I HART Balloon - 3
