Time,Size1,Count1 (dM3),Size2,Count2 (dM3),Size3,Count3 (dM3),Size4,Count4 (dM3),Size5,Count5 (dM3),Size6,Count6 (dM3),AT (C),RH (%),Location,Seconds,A1Size,A2Size,Status
2/8/2026 13:58,0.3,6711,0.5,0,1,0,2,353,5,1059,10,1766,,,100,60,,,0
2/8/2026 13:59,0.3,4592,0.5,0,1,0,2,0,5,0,10,353,,,100,60,,,0
2/8/2026 14:00,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:01,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:02,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:03,0.3,706,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:04,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:05,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:06,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:07,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:08,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:09,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:10,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:11,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:12,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:13,0.3,1059,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:14,0.3,4592,0.5,0,1,0,2,0,5,0,10,353,,,100,60,,,0
2/8/2026 14:15,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:16,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:17,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:18,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:19,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:20,0.3,706,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:21,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:22,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:23,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:24,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:25,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:26,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:27,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:28,0.3,1059,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:29,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:30,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:31,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:32,0.3,706,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:33,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:34,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:35,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:36,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:37,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:38,0.3,6711,0.5,1766,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:39,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:40,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:41,0.3,155068,0.5,5651,1,0,2,0,5,353,10,353,,,100,60,,,0
2/8/2026 14:42,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:43,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:44,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:45,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:46,0.3,353,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
2/8/2026 14:47,0.3,0,0.5,0,1,0,2,0,5,0,10,0,,,100,60,,,0
