Time,Size1,Count1 (dM3),Size2,Count2 (dM3),Size3,Count3 (dM3),Size4,Count4 (dM3),Size5,Count5 (dM3),Size6,Count6 (dM3),AT (C),RH (%),Location,Seconds,A1Size,A2Size,Status
2/7/26 9:17,0.3,5416460,0.5,810667,1,58283,2,11656,5,0,10,0,,,100,60,,,0
2/7/26 9:18,0.3,6410102,0.5,821617,1,64641,2,8124,5,0,10,0,,,100,60,,,0
2/7/26 9:19,0.3,6700812,0.5,947015,1,70293,2,9890,5,0,10,0,,,100,60,,,0
2/7/26 9:20,0.3,7666548,0.5,1094312,1,84775,2,10243,5,0,10,0,,,100,60,,,0
2/7/26 9:21,0.3,7449311,0.5,1148004,1,251501,2,228894,5,11656,10,353,,,100,60,,,0
2/7/26 9:22,0.3,6598375,0.5,963617,1,92900,2,34263,5,0,10,0,,,100,60,,,0
2/7/26 9:23,0.3,6131049,0.5,966089,1,63935,2,6004,5,353,10,0,,,100,60,,,0
2/7/26 9:24,0.3,5483574,0.5,708936,1,40974,2,10243,5,0,10,0,,,100,60,,,0
2/7/26 9:25,0.3,4533733,0.5,638290,1,43447,2,7064,5,0,10,0,,,100,60,,,0
2/7/26 9:26,0.3,5865771,0.5,833274,1,63228,2,4238,5,0,10,0,,,100,60,,,0
2/7/26 9:27,0.3,5087954,0.5,677499,1,36736,2,7064,5,0,10,0,,,100,60,,,0
2/7/26 9:28,0.3,5698339,0.5,767220,1,57576,2,11303,5,0,10,0,,,100,60,,,0
2/7/26 9:29,0.3,3750264,0.5,489579,1,45566,2,10243,5,0,10,0,,,100,60,,,0
2/7/26 9:30,0.3,3134581,0.5,386789,1,26845,2,4945,5,0,10,0,,,100,60,,,0
2/7/26 9:31,0.3,6638643,0.5,1015542,1,70646,2,4945,5,0,10,0,,,100,60,,,0
2/7/26 9:32,0.3,5732956,0.5,876722,1,79830,2,9890,5,0,10,0,,,100,60,,,0
2/7/26 9:33,0.3,4259978,0.5,602613,1,40621,2,3179,5,0,10,0,,,100,60,,,0
2/7/26 9:34,0.3,4494878,0.5,648887,1,56163,2,9537,5,0,10,0,,,100,60,,,0
2/7/26 9:35,0.3,9824090,0.5,1588484,1,143058,2,40621,5,0,10,0,,,100,60,,,0
2/7/26 9:36,0.3,6459908,0.5,847756,1,53691,2,9537,5,0,10,0,,,100,60,,,0
2/7/26 9:37,0.3,4013422,0.5,527375,1,38149,2,7417,5,0,10,0,,,100,60,,,0
2/7/26 9:38,0.3,8171670,0.5,1226775,1,87248,2,13069,5,0,10,0,,,100,60,,,0
2/7/26 9:39,0.3,6752737,0.5,1062168,1,76651,2,8124,5,0,10,0,,,100,60,,,0
2/7/26 9:40,0.3,4008124,0.5,579653,1,47686,2,10950,5,0,10,0,,,100,60,,,0
2/7/26 9:41,0.3,3204521,0.5,478629,1,22960,2,4238,5,0,10,0,,,100,60,,,0
2/7/26 9:42,0.3,3150830,0.5,539738,1,38502,2,6358,5,0,10,0,,,100,60,,,0
2/7/26 9:43,0.3,3186506,0.5,391734,1,21193,2,4592,5,0,10,0,,,100,60,,,0
2/7/26 9:44,0.3,7416813,0.5,1174496,1,89720,2,9890,5,0,10,0,,,100,60,,,0
2/7/26 9:45,0.3,21988342,0.5,3787001,1,278700,2,37089,5,0,10,0,,,100,60,,,0
2/7/26 9:46,0.3,19399504,0.5,3084069,1,238431,2,40268,5,0,10,0,,,100,60,,,0
2/7/26 9:47,0.3,13062168,0.5,1867537,1,142705,2,23313,5,0,10,0,,,100,60,,,0
