Time,Size1,Count1 (dM3),Size2,Count2 (dM3),Size3,Count3 (dM3),Size4,Count4 (dM3),Size5,Count5 (dM3),Size6,Count6 (dM3),AT (C),RH (%),Location,Seconds,A1Size,A2Size,Status
6/19/2026 14:56,0.3,7297068,0.5,602967,1,219003,2,341575,5,77004,10,50865,,,100,60,,,0
6/19/2026 14:57,0.3,7222889,0.5,641116,1,222536,2,302366,5,46979,10,22960,,,100,60,,,0
6/19/2026 14:58,0.3,7283292,0.5,616036,1,221476,2,311197,5,52631,10,34263,,,100,60,,,0
6/19/2026 14:59,0.3,7214058,0.5,537265,1,147297,2,156835,5,11656,10,1766,,,100,60,,,0
6/19/2026 15:00,0.3,7178382,0.5,541151,1,157541,2,149417,5,19427,10,3179,,,100,60,,,0
6/19/2026 15:01,0.3,7295655,0.5,652419,1,251148,2,387848,5,129636,10,112327,,,100,60,,,0
6/19/2026 15:02,0.3,7084422,0.5,570469,1,192158,2,267043,5,43447,10,27905,,,100,60,,,0
6/19/2026 15:03,0.3,7083362,0.5,644648,1,220770,2,329212,5,59342,10,40268,,,100,60,,,0
6/19/2026 15:04,0.3,6997880,0.5,516072,1,145884,2,171670,5,14835,10,9890,,,100,60,,,0
6/19/2026 15:05,0.3,6977039,0.5,554221,1,150830,2,164606,5,17661,10,4592,,,100,60,,,0
6/19/2026 15:06,0.3,7053338,0.5,539738,1,148004,2,162133,5,20134,10,7771,,,100,60,,,0
6/19/2026 15:07,0.3,7072765,0.5,581420,1,179441,2,241610,5,30377,10,18721,,,100,60,,,0
6/19/2026 15:08,0.3,7099611,0.5,587778,1,183680,2,248322,5,28258,10,25432,,,100,60,,,0
6/19/2026 15:09,0.3,7347933,0.5,932885,1,371246,2,439773,5,55810,10,14835,,,100,60,,,0
6/19/2026 15:10,0.3,7759802,0.5,1501236,1,676439,2,820558,5,87601,10,22960,,,100,60,,,0
6/19/2026 15:11,0.3,7209466,0.5,548922,1,143765,2,161073,5,14835,10,6004,,,100,60,,,0
6/19/2026 15:12,0.3,7107029,0.5,536559,1,151183,2,146238,5,11656,10,2119,,,100,60,,,0
6/19/2026 15:13,0.3,7028258,0.5,560579,1,184387,2,234899,5,43447,10,22253,,,100,60,,,0
6/19/2026 15:14,0.3,6994348,0.5,546803,1,153302,2,169198,5,20487,10,7771,,,100,60,,,0
6/19/2026 15:15,0.3,6924408,0.5,563758,1,145178,2,140233,5,15542,10,4945,,,100,60,,,0
6/19/2026 15:16,0.3,7010243,0.5,567643,1,157894,2,152596,5,13069,10,4238,,,100,60,,,0
6/19/2026 15:17,0.3,7144118,0.5,528435,1,144471,2,150830,5,15188,10,4238,,,100,60,,,0
6/19/2026 15:18,0.3,6963970,0.5,565524,1,146944,2,175203,5,21900,10,12716,,,100,60,,,0
6/19/2026 15:19,0.3,6815612,0.5,567643,1,164606,2,164252,5,20487,10,7064,,,100,60,,,0
6/19/2026 15:20,0.3,7015542,0.5,578594,1,161780,2,182974,5,15188,10,9537,,,100,60,,,0
6/19/2026 15:21,0.3,7145884,0.5,577534,1,209466,2,228187,5,34263,10,14129,,,100,60,,,0
6/19/2026 15:22,0.3,7144471,0.5,597668,1,172024,2,178028,5,15542,10,6711,,,100,60,,,0
6/19/2026 15:23,0.3,7240197,0.5,578240,1,168491,2,183327,5,16248,10,7417,,,100,60,,,0
