time,lasttime,lat,lng,speed,course,altitude,comment
2026-07-11 15:51:39,2026-07-11 15:51:39,43.79603,-112.99203,44,47,3182.00,""
2026-07-11 15:53:39,2026-07-11 15:53:39,43.80245,-112.97853,44,51,3956.00,"BYU-I HART Balloon - 5"
2026-07-11 15:55:39,2026-07-11 15:55:39,43.80937,-112.95756,56,75,4876.00,"BYU-I HART Balloon - 5"
2026-07-11 15:57:40,2026-07-11 15:57:40,43.81338,-112.93245,65,93,5639.00,"BYU-I HART Balloon - 5"
2026-07-11 15:59:40,2026-07-11 15:59:40,43.81707,-112.90970,46,88,6303.00,"BYU-I HART Balloon - 5"
2026-07-11 16:01:41,2026-07-11 16:01:41,43.82154,-112.88462,80,64,7033.00,"BYU-I HART Balloon - 5"
2026-07-11 16:03:41,2026-07-11 16:03:41,43.82785,-112.85762,65,79,7783.00,"BYU-I HART Balloon - 5"
2026-07-11 16:05:41,2026-07-11 16:05:41,43.83288,-112.83361,37,83,8603.00,"BYU-I HART Balloon - 5"
2026-07-11 16:07:41,2026-07-11 16:07:41,43.83821,-112.81225,81,63,9485.00,"BYU-I HART Balloon - 5"
2026-07-11 16:09:42,2026-07-11 16:09:42,43.84855,-112.78540,69,54,10414.00,"BYU-I HART Balloon - 5"
2026-07-11 16:11:42,2026-07-11 16:11:42,43.86188,-112.75430,93,72,11171.00,"BYU-I HART Balloon - 5"
2026-07-11 16:15:42,2026-07-11 16:15:42,43.88562,-112.66210,146,63,12725.00,"BYU-I HART Balloon - 5"
2026-07-11 16:17:42,2026-07-11 16:17:42,43.90122,-112.61140,104,60,13540.00,"BYU-I HART Balloon - 5"
2026-07-11 16:19:43,2026-07-11 16:19:43,43.91418,-112.56715,126,61,14330.00,"BYU-I HART Balloon - 5"
2026-07-11 16:21:43,2026-07-11 16:21:43,43.92786,-112.52713,91,77,15247.00,"BYU-I HART Balloon - 5"
2026-07-11 16:23:43,2026-07-11 16:23:43,43.93958,-112.49899,83,36,16053.00,"BYU-I HART Balloon - 5"
2026-07-11 16:25:43,2026-07-11 16:25:43,43.95228,-112.48141,65,48,16854.00,"BYU-I HART Balloon - 5"
2026-07-11 16:27:43,2026-07-11 16:27:43,43.96730,-112.47018,43,74,17654.00,"BYU-I HART Balloon - 5"
2026-07-11 16:29:44,2026-07-11 16:29:44,43.97610,-112.47168,63,345,18520.00,"BYU-I HART Balloon - 5"
2026-07-11 16:31:44,2026-07-11 16:31:44,43.98662,-112.46753,33,18,19319.00,"BYU-I HART Balloon - 5"
2026-07-11 16:33:44,2026-07-11 16:33:44,43.99174,-112.47427,20,12,20104.00,"BYU-I HART Balloon - 5"
2026-07-11 16:35:44,2026-07-11 16:35:44,43.99591,-112.47496,19,278,20839.00,"BYU-I HART Balloon - 5"
2026-07-11 16:37:44,2026-07-11 16:37:44,44.00069,-112.48538,26,309,21591.00,"BYU-I HART Balloon - 5"
2026-07-11 16:39:44,2026-07-11 16:39:44,44.00245,-112.49054,22,318,22390.00,"BYU-I HART Balloon - 5"
2026-07-11 16:41:45,2026-07-11 16:41:45,44.00416,-112.50249,17,358,23132.00,"BYU-I HART Balloon - 5"
2026-07-11 16:43:45,2026-07-11 16:43:45,44.00663,-112.51136,24,263,23883.00,"BYU-I HART Balloon - 5"
2026-07-11 16:45:45,2026-07-11 16:45:45,44.00961,-112.52636,13,280,24648.00,"BYU-I HART Balloon - 5"
2026-07-11 16:47:45,2026-07-11 16:47:45,44.01262,-112.54290,48,291,25423.00,"BYU-I HART Balloon - 5"
2026-07-11 16:49:46,2026-07-11 16:49:46,44.01584,-112.55515,48,289,26211.00,"BYU-I HART Balloon - 5"
2026-07-11 16:51:46,2026-07-11 16:51:46,44.01872,-112.56376,22,239,27018.00,"BYU-I HART Balloon - 5"
