time,lasttime,lat,lng,speed,course,altitude,comment
2026-07-11 15:47:42,2026-07-11 15:47:42,43.78531,-113.00387,31,265,1819.00,"BYU-I HART Balloon - 3"
2026-07-11 15:49:42,2026-07-11 15:49:42,43.78948,-113.00416,31,43,2464.00,"BYU-I HART Balloon - 3"
2026-07-11 15:53:44,2026-07-11 15:53:44,43.80263,-112.97798,52,75,3996.00,"BYU-I HART Balloon - 3"
2026-07-11 15:55:46,2026-07-11 15:55:46,43.80958,-112.95669,54,73,4926.00,"BYU-I HART Balloon - 3"
2026-07-11 15:57:47,2026-07-11 15:57:47,43.81344,-112.93136,54,71,5682.00,"BYU-I HART Balloon - 3"
2026-07-11 16:01:50,2026-07-11 16:01:50,43.82201,-112.88311,57,81,7090.00,"BYU-I HART Balloon - 3"
2026-07-11 16:03:50,2026-07-11 16:03:50,43.82829,-112.85578,54,80,7851.00,"BYU-I HART Balloon - 3"
2026-07-11 16:05:51,2026-07-11 16:05:51,43.83319,-112.83153,61,65,8686.00,"BYU-I HART Balloon - 3"
2026-07-11 16:07:53,2026-07-11 16:07:53,43.83897,-112.81009,56,54,9567.00,"BYU-I HART Balloon - 3"
2026-07-11 16:09:54,2026-07-11 16:09:54,43.85005,-112.78238,78,50,10506.00,"BYU-I HART Balloon - 3"
2026-07-11 16:11:55,2026-07-11 16:11:55,43.86274,-112.75069,94,70,11240.00,"BYU-I HART Balloon - 3"
2026-07-11 16:13:56,2026-07-11 16:13:56,43.87375,-112.70877,100,68,12056.00,"BYU-I HART Balloon - 3"
2026-07-11 16:15:57,2026-07-11 16:15:57,43.88764,-112.65577,143,64,12833.00,"BYU-I HART Balloon - 3"
2026-07-11 16:17:58,2026-07-11 16:17:58,43.90329,-112.60519,139,65,13629.00,"BYU-I HART Balloon - 3"
2026-07-11 16:19:59,2026-07-11 16:19:59,43.91585,-112.56230,93,59,14444.00,"BYU-I HART Balloon - 3"
2026-07-11 16:22:00,2026-07-11 16:22:00,43.92904,-112.52219,81,71,15346.00,"BYU-I HART Balloon - 3"
2026-07-11 16:24:02,2026-07-11 16:24:02,43.94188,-112.49547,76,52,16183.00,"BYU-I HART Balloon - 3"
2026-07-11 16:26:02,2026-07-11 16:26:02,43.95516,-112.48000,67,15,16984.00,"BYU-I HART Balloon - 3"
2026-07-11 16:28:03,2026-07-11 16:28:03,43.96840,-112.46851,20,341,17806.00,"BYU-I HART Balloon - 3"
2026-07-11 16:30:05,2026-07-11 16:30:05,43.97830,-112.47114,43,30,18671.00,"BYU-I HART Balloon - 3"
2026-07-11 16:32:06,2026-07-11 16:32:06,43.98677,-112.46844,17,243,19517.00,"BYU-I HART Balloon - 3"
2026-07-11 16:34:07,2026-07-11 16:34:07,43.99325,-112.47493,20,335,20242.00,"BYU-I HART Balloon - 3"
2026-07-11 16:36:08,2026-07-11 16:36:08,43.99574,-112.47728,37,255,20988.00,"BYU-I HART Balloon - 3"
2026-07-11 16:38:09,2026-07-11 16:38:09,44.00278,-112.48666,30,350,21750.00,"BYU-I HART Balloon - 3"
2026-07-11 16:40:10,2026-07-11 16:40:10,44.00265,-112.49321,15,284,22549.00,"BYU-I HART Balloon - 3"
2026-07-11 16:42:11,2026-07-11 16:42:11,44.00545,-112.50368,13,341,23295.00,"BYU-I HART Balloon - 3"
2026-07-11 16:44:12,2026-07-11 16:44:12,44.00667,-112.51481,33,292,24056.00,"BYU-I HART Balloon - 3"
2026-07-11 16:46:14,2026-07-11 16:46:14,44.00980,-112.53060,44,278,24838.00,"BYU-I HART Balloon - 3"
2026-07-11 16:48:15,2026-07-11 16:48:15,44.01367,-112.54643,48,312,25624.00,"BYU-I HART Balloon - 3"
2026-07-11 16:50:16,2026-07-11 16:50:16,44.01671,-112.55763,35,309,26417.00,"BYU-I HART Balloon - 3"
2026-07-11 16:52:17,2026-07-11 16:52:17,44.01735,-112.56647,35,240,27232.00,"BYU-I HART Balloon - 3"
2026-07-11 16:54:18,2026-07-11 16:54:18,44.01120,-112.58103,43,254,28041.00,"BYU-I HART Balloon - 3"
2026-07-11 16:56:19,2026-07-11 16:56:19,44.00836,-112.60084,65,281,28897.00,"BYU-I HART Balloon - 3"
2026-07-11 16:58:20,2026-07-11 16:58:20,44.01138,-112.62666,59,287,29706.00,"BYU-I HART Balloon - 3"
2026-07-11 17:00:21,2026-07-11 17:00:21,44.01388,-112.65271,63,279,30512.00,"BYU-I HART Balloon - 3"
2026-07-11 17:02:22,2026-07-11 17:02:22,44.01520,-112.67572,44,267,31382.00,"BYU-I HART Balloon - 3"
2026-07-11 17:04:23,2026-07-11 17:04:23,44.01555,-112.70094,0,0,29555.00,"BYU-I HART Balloon - 3"
2026-07-11 17:04:37,2026-07-11 17:04:37,44.01575,-112.70243,17,254,28764.00,"BYU-I HART Balloon - 3"
2026-07-11 17:06:38,2026-07-11 17:06:38,44.01629,-112.71518,28,304,22948.00,"BYU-I HART Balloon - 3"
2026-07-11 17:08:39,2026-07-11 17:08:39,44.01996,-112.72143,31,27,19254.00,"BYU-I HART Balloon - 3"
2026-07-11 17:10:41,2026-07-11 17:10:41,44.03169,-112.71322,61,39,16486.00,"BYU-I HART Balloon - 3"
2026-07-11 17:12:42,2026-07-11 17:12:42,44.04501,-112.68054,93,59,14288.00,"BYU-I HART Balloon - 3"
2026-07-11 17:14:43,2026-07-11 17:14:43,44.05873,-112.63246,133,69,12373.00,"BYU-I HART Balloon - 3"
2026-07-11 17:16:44,2026-07-11 17:16:44,44.06937,-112.59502,74,60,10653.00,"BYU-I HART Balloon - 3"
2026-07-11 17:18:45,2026-07-11 17:18:45,44.07889,-112.56677,67,61,9153.00,"BYU-I HART Balloon - 3"
2026-07-11 17:20:47,2026-07-11 17:20:47,44.08153,-112.53996,57,77,7779.00,"BYU-I HART Balloon - 3"
2026-07-11 17:22:48,2026-07-11 17:22:48,44.08610,-112.51562,61,83,6499.00,"BYU-I HART Balloon - 3"
2026-07-11 17:24:49,2026-07-11 17:24:49,44.08771,-112.49078,48,68,5299.00,"BYU-I HART Balloon - 3"
2026-07-11 17:26:51,2026-07-11 17:26:51,44.09334,-112.47034,48,62,4218.00,"BYU-I HART Balloon - 3"
2026-07-11 19:09:52,2026-07-11 19:09:52,43.82289,-111.83324,72,87,1491.00,"BYU-I HART Balloon - 3"
