Time,Size1,Count1 (dM3),Size2,Count2 (dM3),Size3,Count3 (dM3),Size4,Count4 (dM3),Size5,Count5 (dM3),Size6,Count6 (dM3),AT (C),RH (%),Location,Seconds,A1Size,A2Size,Status,
2026-07-11 15:00:16,0.3,8635111,0.5,1087601,1,577181,2,1215118,5,339102,10,159660,,,100,60,,,0,
2026-07-11 15:01:16,0.3,8304132,0.5,695160,1,232779,2,263157,5,36382,10,13422,,,100,60,,,0,
2026-07-11 15:02:16,0.3,8429530,0.5,655245,1,219003,2,226068,5,24019,10,6004,,,100,60,,,0,
2026-07-11 15:03:16,0.3,8751678,0.5,700105,1,225362,2,219003,5,20840,10,6711,,,100,60,,,0,
2026-07-11 15:04:16,0.3,8976333,0.5,677499,1,230307,2,250088,5,29318,10,20487,,,100,60,,,0,
2026-07-11 15:05:16,0.3,11291416,0.5,830801,1,238784,2,242670,5,27198,10,10950,,,100,60,,,0,
2026-07-11 15:06:16,0.3,13368421,0.5,1001412,1,259272,2,287884,5,29318,10,15188,,,100,60,,,0,
2026-07-11 15:07:16,0.3,9553868,0.5,803249,1,324620,2,418933,5,77004,10,71706,,,100,60,,,0,
2026-07-11 15:08:16,0.3,9416107,0.5,812080,1,298481,2,381843,5,44507,10,33203,,,100,60,,,0,
2026-07-11 15:09:16,0.3,9844931,0.5,974920,1,388202,2,495231,5,83716,10,60049,,,100,60,,,0,
2026-07-11 15:10:16,0.3,9298128,0.5,713528,1,229247,2,255033,5,35676,10,15188,,,100,60,,,0,
2026-07-11 15:11:16,0.3,9168138,0.5,688802,1,209466,2,240197,5,23313,10,9537,,,100,60,,,0,
2026-07-11 15:12:16,0.3,9161427,0.5,670787,1,193217,2,214411,5,24373,10,9890,,,100,60,,,0,
2026-07-11 15:13:16,0.3,8944542,0.5,659837,1,205934,2,237725,5,33910,10,13776,,,100,60,,,0,
2026-07-11 15:14:16,0.3,9119392,0.5,719886,1,229600,2,324620,5,57223,10,32144,,,100,60,,,0,
2026-07-11 15:15:16,0.3,9156835,0.5,718827,1,220770,2,227481,5,27905,10,6004,,,100,60,,,0,
2026-07-11 15:16:16,0.3,9256799,0.5,704344,1,223595,2,245496,5,29318,10,6004,,,100,60,,,0,
2026-07-11 15:17:16,0.3,8882727,0.5,714235,1,202755,2,232073,5,22960,10,4592,,,100,60,,,0,
2026-07-11 15:18:16,0.3,9188626,0.5,1297774,1,877428,2,2447545,5,963263,10,862945,,,100,60,,,0,
2026-07-11 15:19:16,0.3,8843518,0.5,662663,1,193217,2,209113,5,19780,10,3885,,,100,60,,,0,
2026-07-11 15:20:16,0.3,8904274,0.5,652066,1,175909,2,177322,5,18014,10,4945,,,100,60,,,0,
2026-07-11 15:21:16,0.3,8804309,0.5,664782,1,195690,2,204521,5,17661,10,3532,,,100,60,,,0,
2026-07-11 15:22:16,0.3,9019074,0.5,623101,1,156481,2,156128,5,10950,10,2119,,,100,60,,,0,
2026-07-11 15:23:16,0.3,8864712,0.5,664429,1,166019,2,181914,5,14482,10,2825,,,100,60,,,0,
2026-07-11 15:24:16,0.3,8871070,0.5,714235,1,202401,2,222182,5,21547,10,3179,,,100,60,,,0,
2026-07-11 15:25:16,0.3,9095372,0.5,785234,1,226774,2,216178,5,21900,10,6004,,,100,60,,,0,
2026-07-11 15:26:16,0.3,8790533,0.5,671494,1,187213,2,170964,5,12716,10,3179,,,100,60,,,0,
2026-07-11 15:27:16,0.3,8995054,0.5,708936,1,216178,2,247262,5,31790,10,4945,,,100,60,,,0,
2026-07-11 15:28:16,0.3,8983398,0.5,700459,1,206993,2,190038,5,15542,10,4238,,,100,60,,,0,
2026-07-11 15:29:16,0.3,8841752,0.5,661956,1,184740,2,203108,5,19074,10,5298,,,100,60,,,0,
2026-07-11 15:30:16,0.3,8868244,0.5,682091,1,204874,2,203461,5,21900,10,4592,,,100,60,,,0,
2026-07-11 15:31:16,0.3,9058283,0.5,761568,1,214765,2,217590,5,23666,10,6358,,,100,60,,,0,
2026-07-11 15:32:16,0.3,8996467,0.5,764394,1,222536,2,236665,5,22606,10,4945,,,100,60,,,0,
2026-07-11 15:33:16,0.3,8943129,0.5,676792,1,209113,2,203461,5,25785,10,6358,,,100,60,,,0,
2026-07-11 15:34:16,0.3,14978099,0.5,8472977,1,4531967,2,5729777,5,582479,10,146591,,,100,60,,,0,
2026-07-11 15:35:16,0.3,10072059,0.5,2061815,1,939244,2,1144471,5,111268,10,23666,,,100,60,,,0,
2026-07-11 15:36:16,0.3,8916284,0.5,719886,1,224302,2,228187,5,25079,10,7771,,,100,60,,,0,
2026-07-11 15:37:16,0.3,8815259,0.5,670787,1,203461,2,207700,5,21193,10,7771,,,100,60,,,0,
2026-07-11 15:38:16,0.3,8955139,0.5,674320,1,183680,2,195337,5,16601,10,4592,,,100,60,,,0,
2026-07-11 15:39:16,0.3,9405863,0.5,690921,1,182974,2,187566,5,21900,10,6711,,,100,60,,,0,
